Holiday_ID,countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date,Month
25768,Norway,Søndag,Søndag,NULL,NO,9/1/2019,9
25773,Norway,Søndag,Søndag,NULL,NO,9/8/2019,9
25775,Norway,Søndag,Søndag,NULL,NO,9/15/2019,9
25779,Norway,Søndag,Søndag,NULL,NO,9/22/2019,9
25784,Norway,Søndag,Søndag,NULL,NO,9/29/2019,9
25787,Germany,Tag der Deutschen Einheit,Tag der Deutschen Einheit,NULL,DE,10/3/2019,10
25788,Portugal,Implantação da República,Implantação da República,NULL,PT,10/5/2019,10
25789,Norway,Søndag,Søndag,NULL,NO,10/6/2019,10
25791,Croatia,Dan neovisnosti,Dan neovisnosti,NULL,HR,10/8/2019,10
25794,Spain,Día de la Hispanidad,Día de la Hispanidad,NULL,ES,10/12/2019,10
25795,Norway,Søndag,Søndag,NULL,NO,10/13/2019,10
25802,Norway,Søndag,Søndag,NULL,NO,10/20/2019,10
25805,Hungary,Nemzeti ünnep,Nemzeti ünnep,NULL,HU,10/23/2019,10
25806,Austria,Nationalfeiertag,Nationalfeiertag,NULL,AT,10/26/2019,10
25807,Norway,Søndag,Søndag,NULL,NO,10/27/2019,10
25813,Austria,Allerheiligen,Allerheiligen,NULL,AT,11/1/2019,11
25814,Belgium,Allerheiligen,Allerheiligen,NULL,BE,11/1/2019,11
25815,Croatia,Svi sveti,Svi sveti,NULL,HR,11/1/2019,11
25816,France,Toussaint,Toussaint,NULL,FR,11/1/2019,11
25817,Hungary,Mindenszentek,Mindenszentek,NULL,HU,11/1/2019,11
25818,Italy,Tutti i Santi,Tutti i Santi,NULL,IT,11/1/2019,11
25819,Poland,Uroczysto?? Wszystkich ?wi?tych,Uroczysto?? Wszystkich ?wi?tych,NULL,PL,11/1/2019,11
25820,Portugal,Dia de Todos os Santos,Dia de Todos os Santos,NULL,PT,11/1/2019,11
25822,Spain,Todos los Santos,Todos los Santos,NULL,ES,11/1/2019,11
25824,Finland,Pyhäinpäivä,Pyhäinpäivä,NULL,FI,11/2/2019,11
25827,Norway,Søndag,Søndag,NULL,NO,11/3/2019,11
25832,Norway,Søndag,Søndag,NULL,NO,11/10/2019,11
25834,Belgium,Wapenstilstand,Wapenstilstand,NULL,BE,11/11/2019,11
25836,France,Armistice 1918,Armistice 1918,NULL,FR,11/11/2019,11
